Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Name Title
0,Middle,male,21,0,0,73.5,S, Mr
0,Lowest,male,26,1,0,14.4542,C, Mr
1,Lowest,male,32,0,0,56.4958,S, Mr
0,Lowest,male,25,0,0,7.65,S, Mr
0,Lowest,male,,0,0,7.8958,S, Mr
0,Lowest,male,,0,0,8.05,S, Mr
1,Middle,male,0.83,0,1,29,S, Master
1,Lowest,female,30,0,0,12.475,S, Miss
0,Lowest,male,22,0,0,9,S, Mr
1,Lowest,male,29,0,0,9.5,S, Mr
1,Lowest,female,,0,0,7.7875,Q, Miss
0,First,male,28,0,0,47.1,S, Mr
1,Middle,female,17,0,0,10.5,S, Miss
1,Lowest,female,33,1,0,15.85,S, Mrs
0,Lowest,male,16,1,1,34.375,S, Mr
0,Lowest,male,,0,0,8.05,S, Mr
1,First,female,23,1,1,263,S, Miss
0,Lowest,male,24,0,0,8.05,S, Mr
0,Lowest,male,29,0,0,8.05,S, Mr
0,Lowest,male,20,0,0,7.8542,S, Mr
0,First,male,46,1,0,61.175,S, Mr
0,Lowest,male,26,1,1,20.575,S, Mr
0,Lowest,male,59,0,0,7.25,S, Mr
0,Lowest,male,,0,0,8.05,S, Mr
0,First,male,71,0,0,34.6542,C, Mr
1,First,male,23,0,1,63.3583,C, Mr
1,Middle,female,34,0,1,23,S, Mrs
0,Middle,male,34,1,0,26,S, Mr
0,Lowest,female,28,0,0,7.8958,S, Miss
0,Lowest,male,,0,0,7.8958,S, Mr
0,First,male,21,0,1,77.2875,S, Mr
0,Lowest,male,33,0,0,8.6542,S, Mr
0,Lowest,male,37,1,0,7.925,S, Mr
0,Lowest,male,28,0,0,7.8958,S, Mr
1,Lowest,female,21,0,0,7.65,S, Miss
1,Lowest,male,,0,0,7.775,S, Mr
0,Lowest,male,38,0,0,7.8958,S, Mr
1,Lowest,female,,1,0,24.15,Q, Miss
0,First,male,47,0,0,52,S, Mr
0,Lowest,female,14.5,1,0,14.4542,C, Miss
0,Lowest,male,22,0,0,8.05,S, Mr
0,Lowest,female,20,1,0,9.825,S, Miss
0,Lowest,female,17,0,0,14.4583,C, Miss
0,Lowest,male,21,0,0,7.925,S, Mr
0,Lowest,male,70.5,0,0,7.75,Q, Mr
0,Middle,male,29,1,0,21,S, Mr
0,First,male,24,0,1,247.5208,C, Mr
0,Lowest,female,2,1,1,31.275,S, Miss
0,Middle,male,21,1,0,73.5,S, Mr
0,Lowest,male,,0,0,8.05,S, Mr
0,Middle,male,32.5,1,0,30.0708,C, Mr
1,Middle,female,32.5,0,0,13,S, Miss
0,First,male,54,0,1,77.2875,S, Mr
1,Lowest,male,12,1,0,11.2417,C, Master
0,Lowest,male,,0,0,7.75,Q, Mr
1,Lowest,male,24,0,0,7.1417,S, Mr
1,Lowest,female,,1,1,22.3583,C, Miss
0,Lowest,male,45,0,0,6.975,S, Mr
0,Lowest,male,33,0,0,7.8958,C, Mr
0,Lowest,male,20,0,0,7.05,S, Mr
0,Lowest,female,47,1,0,14.5,S, Mrs
1,Middle,female,29,1,0,26,S, Mrs
0,Middle,male,25,0,0,13,S, Mr
0,Middle,male,23,0,0,15.0458,C, Mr
1,First,female,19,0,1,26.2833,S, Miss
0,First,male,37,1,0,53.1,S, Mr
0,Lowest,male,16,0,0,9.2167,S, Mr
0,First,male,24,0,0,79.2,C, Mr
0,Lowest,female,,0,1,15.2458,C, Mrs
1,Lowest,female,22,0,0,7.75,S, Miss
1,Lowest,female,24,1,0,15.85,S, Mrs
0,Lowest,male,19,0,0,6.75,Q, Mr
0,Middle,male,18,0,0,11.5,S, Mr
0,Middle,male,19,1,1,36.75,S, Mr
1,Lowest,male,27,0,0,7.7958,S, Mr
0,Lowest,female,9,1,1,34.375,S, Miss
0,Middle,male,36.5,0,1,26,S, Mr
0,Middle,male,42,0,0,13,S, Rev
0,Middle,male,51,0,0,12.525,S, Rev
1,First,female,22,1,0,66.6,S, Mrs
0,Lowest,male,55.5,0,0,8.05,S, Mr
0,Lowest,male,40.5,0,1,14.5,S, Mr
0,Lowest,male,,0,0,7.3125,S, Mr
0,First,male,51,0,1,61.3792,C, Mr
1,Lowest,female,16,0,0,7.7333,Q, Miss
0,Lowest,male,30,0,0,8.05,S, Mr
0,Lowest,male,,0,0,8.6625,S, Mr
0,Lowest,male,,1,1,69.55,S, Master
0,Lowest,male,44,0,1,16.1,S, Mr
1,Middle,female,40,0,0,15.75,S, Mrs
0,Lowest,male,26,0,0,7.775,S, Mr
0,Lowest,male,17,0,0,8.6625,S, Mr
0,Lowest,male,1,1,1,39.6875,S, Master
1,Lowest,male,9,0,1,20.525,S, Master
1,First,female,,0,1,55,S, Mrs
0,Lowest,female,45,1,1,27.9,S, Mrs
0,First,male,,0,0,25.925,S, Mr
0,Lowest,male,28,0,0,56.4958,S, Mr
0,First,male,61,0,0,33.5,S, Mr
0,Lowest,male,4,1,1,29.125,Q, Master
1,Lowest,female,1,1,1,11.1333,S, Miss
0,Lowest,male,21,0,0,7.925,S, Mr
0,First,male,56,0,0,30.6958,C, Mr
0,Lowest,male,18,1,1,7.8542,S, Mr
0,Lowest,male,,1,1,25.4667,S, Master
0,First,female,50,0,0,28.7125,C, Miss
0,Middle,male,30,0,0,13,S, Mr
0,Lowest,male,36,0,0,0,S, Mr
0,Lowest,female,,1,1,69.55,S, Miss
0,Middle,male,,0,0,15.05,C, Mr
0,Lowest,male,9,1,1,31.3875,S, Master
1,Middle,male,1,1,1,39,S, Master
1,Lowest,female,4,0,1,22.025,S, Miss
0,First,male,,0,0,50,S, Mr
1,Lowest,female,,1,0,15.5,Q, Mrs
1,First,male,45,0,0,26.55,S, Mr
0,Lowest,male,40,1,1,15.5,Q, Mr
0,Lowest,male,36,0,0,7.8958,S, Mr
1,Middle,female,32,0,0,13,S, Mrs
0,Middle,male,19,0,0,13,S, Mr
1,Lowest,female,19,1,0,7.8542,S, Miss
1,Middle,male,3,1,1,26,S, Master
1,First,female,44,0,0,27.7208,C, Mrs
1,First,female,58,0,0,146.5208,C, Miss
0,Lowest,male,,0,0,7.75,Q, Mr
0,Lowest,male,42,0,1,8.4042,S, Mr
1,Lowest,female,,0,0,7.75,Q, Miss
0,Middle,female,24,0,0,13,S, Miss
0,Lowest,male,28,0,0,9.5,S, Mr
0,Lowest,male,,1,1,69.55,S, Mr
0,Lowest,male,34,0,0,6.4958,S, Mr
0,Lowest,male,45.5,0,0,7.225,C, Mr
1,Lowest,male,18,0,0,8.05,S, Mr
0,Lowest,female,2,0,1,10.4625,S, Miss
0,Lowest,male,32,1,0,15.85,S, Mr
1,Lowest,male,26,0,0,18.7875,C, Mr
1,Lowest,female,16,0,0,7.75,Q, Miss
1,First,male,40,0,0,31,C, Mr
0,Lowest,male,24,0,0,7.05,S, Mr
1,Middle,female,35,0,0,21,S, Miss
0,Lowest,male,22,0,0,7.25,S, Mr
0,Middle,male,30,0,0,13,S, Mr
0,Lowest,male,,1,0,7.75,Q, Mr
1,First,female,31,1,0,113.275,C, Miss
1,Lowest,female,27,0,0,7.925,S, Miss
0,Middle,male,42,1,0,27,S, Mr
1,First,female,32,0,0,76.2917,C, Miss
0,Middle,male,30,0,0,10.5,S, Mr
1,Lowest,male,16,0,0,8.05,S, Mr
0,Middle,male,27,0,0,13,S, Mr
0,Lowest,male,51,0,0,8.05,S, Mr
0,Lowest,male,,0,0,7.8958,S, Mr
1,First,male,38,1,0,90,S, Mr
0,Lowest,male,22,0,0,9.35,S, Mr
1,Middle,male,19,0,0,10.5,S, Mr
0,Lowest,male,20.5,0,0,7.25,S, Mr
0,Middle,male,18,0,0,13,S, Mr
0,Lowest,female,,1,1,25.4667,S, Miss
1,First,female,35,1,0,83.475,S, Mrs
0,Lowest,male,29,0,0,7.775,S, Mr
0,Middle,male,59,0,0,13.5,S, Mr
1,Lowest,female,5,1,1,31.3875,S, Miss
0,Middle,male,24,0,0,10.5,S, Mr
0,Lowest,female,,0,0,7.55,S, Miss
0,Middle,male,44,1,0,26,S, Mr
1,Middle,female,8,0,1,26.25,S, Miss
0,Middle,male,19,0,0,10.5,S, Mr
0,Middle,male,33,0,0,12.275,S, Mr
0,Lowest,female,,1,0,14.4542,C, Miss
1,Lowest,female,,1,0,15.5,Q, Miss
0,Middle,male,29,0,0,10.5,S, Mr
0,Lowest,male,22,0,0,7.125,S, Mr
0,Lowest,male,30,0,0,7.225,C, Mr
0,First,male,44,1,0,90,Q, Dr
0,Lowest,female,25,0,0,7.775,S, Miss
1,Middle,female,24,0,1,14.5,S, Mrs
1,First,male,37,1,1,52.5542,S, Mr
0,Middle,male,54,1,0,26,S, Rev
0,Lowest,male,,0,0,7.25,S, Mr
0,Lowest,female,29,1,1,10.4625,S, Mrs
0,First,male,62,0,0,26.55,S, Mr
0,Lowest,male,30,1,0,16.1,S, Mr
0,Lowest,female,41,0,1,20.2125,S, Mrs
1,Lowest,female,29,0,1,15.2458,C, Mrs
1,First,female,,0,0,79.2,C, Mrs
1,First,female,30,0,0,86.5,S, Miss
1,First,female,35,0,0,512.3292,C, Miss
1,Middle,female,50,0,1,26,S, Mrs
0,Lowest,male,,0,0,7.75,Q, Mr
1,Lowest,male,3,1,1,31.3875,S, Master
0,First,male,52,1,1,79.65,S, Mr
0,First,male,40,0,0,0,S, Mr
0,Lowest,female,,0,0,7.75,Q, Miss
0,Middle,male,36,0,0,10.5,S, Mr
0,Lowest,male,16,1,1,39.6875,S, Mr
1,Lowest,male,25,1,0,7.775,S, Mr
1,First,female,58,0,1,153.4625,S, Mrs
1,First,female,35,0,0,135.6333,S, Miss
0,First,male,,0,0,31,S, Mr
1,Lowest,male,25,0,0,0,S, Mr
1,Middle,female,41,0,1,19.5,S, Mrs
0,First,male,37,0,1,29.7,C, Mr
1,Lowest,female,,0,0,7.75,Q, Miss
1,First,female,63,1,0,77.9583,S, Miss
0,Lowest,female,45,0,0,7.75,S, Miss
0,Middle,male,,0,0,0,S, Mr
0,Lowest,male,7,1,1,29.125,Q, Master
1,Lowest,female,35,1,1,20.25,S, Mrs
0,Lowest,male,65,0,0,7.75,Q, Mr
0,Lowest,male,28,0,0,7.8542,S, Mr
0,Lowest,male,16,0,0,9.5,S, Mr
1,Lowest,male,19,0,0,8.05,S, Mr
0,First,male,,0,0,26,S, Mr
0,Lowest,male,33,0,0,8.6625,C, Mr
1,Lowest,male,30,0,0,9.5,S, Mr
0,Lowest,male,22,0,0,7.8958,S, Mr
1,Middle,male,42,0,0,13,S, Mr
1,Lowest,female,22,0,0,7.75,Q, Miss
1,First,female,26,0,0,78.85,S, Miss
1,First,female,19,1,0,91.0792,C, Mrs
0,Middle,male,36,0,0,12.875,C, Mr
0,Lowest,female,24,0,0,8.85,S, Miss
0,Lowest,male,24,0,0,7.8958,S, Mr
0,First,male,,0,0,27.7208,C, Mr
0,Lowest,male,23.5,0,0,7.2292,C, Mr
0,First,female,2,1,1,151.55,S, Miss
1,First,male,,0,0,30.5,S, Mr
1,First,female,50,0,1,247.5208,C, Mrs
1,Lowest,female,,0,0,7.75,Q, Miss
1,Lowest,male,,1,0,23.25,Q, Mr
0,Lowest,male,19,0,0,0,S, Mr
1,Middle,female,,0,0,12.35,Q, Miss
0,Lowest,male,,0,0,8.05,S, Mr
1,First,male,0.92,1,1,151.55,S, Master
1,First,female,,0,0,110.8833,C, Miss
1,First,female,17,1,0,108.9,C, Mrs
0,Middle,male,30,1,0,24,C, Mr
1,First,female,30,0,0,56.9292,C, Miss
1,First,female,24,0,0,83.1583,C, Miss
1,First,female,18,1,1,262.375,C, Miss
0,Middle,female,26,1,1,26,S, Mrs
0,Lowest,male,28,0,0,7.8958,S, Mr
0,Middle,male,43,1,1,26.25,S, Mr
1,Lowest,female,26,0,0,7.8542,S, Miss
1,Middle,female,24,1,0,26,S, Mrs
0,Middle,male,54,0,0,14,S, Dr
1,First,female,31,0,1,164.8667,S, Miss
1,First,female,40,1,1,134.5,C, Mrs
0,Lowest,male,22,0,0,7.25,S, Mr
0,Lowest,male,27,0,0,7.8958,S, Mr
1,Middle,female,30,0,0,12.35,Q, Miss
1,Middle,female,22,1,1,29,S, Mrs
0,Lowest,male,,1,1,69.55,S, Mr
1,First,female,36,0,0,135.6333,C, Miss
0,Lowest,male,61,0,0,6.2375,S, Mr
1,Middle,female,36,0,0,13,S, Mrs
1,Lowest,female,31,1,1,20.525,S, Mrs
1,First,female,16,0,1,57.9792,C, Miss
1,Lowest,female,,1,0,23.25,Q, Miss
0,First,male,45.5,0,0,28.5,S, Mr
0,First,male,38,0,1,153.4625,S, Mr
0,Lowest,male,16,1,0,18,S, Mr
1,First,female,,1,0,133.65,S, Mrs
0,Lowest,male,,0,0,7.8958,S, Mr
0,First,male,29,1,0,66.6,S, Mr
1,First,female,41,0,0,134.5,C, Miss
1,Lowest,male,45,0,0,8.05,S, Mr
0,First,male,45,0,0,35.5,S, Mr
1,Middle,male,2,1,1,26,S, Master
1,First,female,24,1,1,263,S, Miss
0,Middle,male,28,0,0,13,S, Mr
0,Middle,male,25,0,0,13,S, Mr
0,Middle,male,36,0,0,13,S, Mr
1,Middle,female,24,0,0,13,S, Miss
1,Middle,female,40,0,0,13,S, Miss
1,Lowest,female,,1,0,16.1,S, Mrs
1,Lowest,male,3,1,1,15.9,S, Master
0,Lowest,male,42,0,0,8.6625,S, Mr
0,Lowest,male,23,0,0,9.225,S, Mr
0,First,male,,0,0,35,S, Mr
0,Lowest,male,15,1,1,7.2292,C, Mr
0,Lowest,male,25,1,0,17.8,S, Mr
0,Lowest,male,,0,0,7.225,C, Mr
0,Lowest,male,28,0,0,9.5,S, Mr
1,First,female,22,0,1,55,S, Miss
0,Middle,female,38,0,0,13,S, Miss
1,Lowest,female,,0,0,7.8792,Q, Miss
1,Lowest,female,,0,0,7.8792,Q, Miss
0,Lowest,male,40,1,1,27.9,S, Mr
0,Middle,male,29,1,0,27.7208,C, Mr
0,Lowest,female,45,0,1,14.4542,C, Mrs
0,Lowest,male,35,0,0,7.05,S, Mr
0,Lowest,male,,1,0,15.5,Q, Mr
0,Lowest,male,30,0,0,7.25,S, Mr
1,First,female,60,1,0,75.25,C, Mrs
1,Lowest,female,,0,0,7.2292,C, Mrs
1,Lowest,female,,0,0,7.75,Q, Miss
1,First,female,24,0,0,69.3,C, Mme
1,First,male,25,1,0,55.4417,C, Mr
0,Lowest,male,18,1,0,6.4958,S, Mr
0,Lowest,male,19,0,0,8.05,S, Mr
0,First,male,22,0,0,135.6333,C, Mr
0,Lowest,female,3,1,1,21.075,S, Miss
1,First,female,,1,0,82.1708,C, Mrs
1,Lowest,female,22,0,0,7.25,S, Miss
0,First,male,27,0,1,211.5,C, Mr
0,Lowest,male,20,0,0,4.0125,C, Mr
0,Lowest,male,19,0,0,7.775,S, Mr
1,First,female,42,0,0,227.525,C, Miss
1,Lowest,female,1,0,1,15.7417,C, Miss
0,Lowest,male,32,0,0,7.925,S, Mr
1,First,female,35,1,0,52,S, Mrs
0,Lowest,male,,0,0,7.8958,S, Mr
0,Middle,male,18,0,0,73.5,S, Mr
0,Lowest,male,1,1,1,46.9,S, Master
1,Middle,female,36,0,0,13,S, Miss
0,Lowest,male,,0,0,7.7292,Q, Mr
1,Middle,female,17,0,0,12,C, Miss
1,First,male,36,1,1,120,S, Mr
1,Lowest,male,21,0,0,7.7958,S, Mr
0,Lowest,male,28,1,0,7.925,S, Mr
1,First,female,23,1,0,113.275,C, Miss
1,Lowest,female,24,0,1,16.7,S, Mrs
0,Lowest,male,22,0,0,7.7958,S, Mr
0,Lowest,female,31,0,0,7.8542,S, Miss
0,Middle,male,46,0,0,26,S, Mr
0,Middle,male,23,0,0,10.5,S, Dr
1,Middle,female,28,0,0,12.65,S, Mrs
1,Lowest,male,39,0,0,7.925,S, Mr
0,Lowest,male,26,0,0,8.05,S, Mr
0,Lowest,female,21,1,0,9.825,S, Miss
0,Lowest,male,28,1,0,15.85,S, Mr
0,Lowest,female,20,0,0,8.6625,S, Miss
0,Middle,male,34,1,0,21,S, Mr
0,Lowest,male,51,0,0,7.75,S, Mr
1,Middle,male,3,1,1,18.75,S, Master
0,Lowest,male,21,0,0,7.775,S, Mr
0,Lowest,female,,1,1,25.4667,S, Miss
0,Lowest,male,,0,0,7.8958,S, Mr
0,Lowest,male,,0,0,6.8583,Q, Mr
1,First,female,33,1,0,90,Q, Miss
0,Middle,male,,0,0,0,S, Mr
1,Lowest,male,44,0,0,7.925,S, Mr
0,Lowest,female,,0,0,8.05,S, Mrs
1,Middle,female,34,1,1,32.5,S, Mrs
1,Middle,female,18,0,1,13,S, Miss
0,Middle,male,30,0,0,13,S, Mr
0,Lowest,female,10,0,1,24.15,S, Miss
0,Lowest,male,,0,0,7.8958,C, Mr
0,Lowest,male,21,0,0,7.7333,Q, Mr
0,Lowest,male,29,0,0,7.875,S, Mr
0,Lowest,female,28,1,1,14.4,S, Mrs
0,Lowest,male,18,1,1,20.2125,S, Mr
0,Lowest,male,,0,0,7.25,S, Mr
1,Middle,female,28,1,0,26,S, Mrs
1,Middle,female,19,0,0,26,S, Miss
0,Lowest,male,,0,0,7.75,Q, Mr
1,Lowest,male,32,0,0,8.05,S, Mr
1,First,male,28,0,0,26.55,S, Mr
1,Lowest,female,,1,0,16.1,S, Mrs
1,Middle,female,42,1,0,26,S, Mrs
0,Lowest,male,17,0,0,7.125,S, Mr
0,First,male,50,1,0,55.9,S, Mr
1,First,female,14,1,1,120,S, Miss
0,Lowest,female,21,1,1,34.375,S, Miss
1,Middle,female,24,1,1,18.75,S, Mrs
0,First,male,64,1,1,263,S, Mr
0,Middle,male,31,0,0,10.5,S, Mr
1,Middle,female,45,1,1,26.25,S, Mrs
0,Lowest,male,20,0,0,9.5,S, Mr
0,Lowest,male,25,1,0,7.775,S, Mr
1,Middle,female,28,0,0,13,S, Ms
1,Lowest,male,,0,0,8.1125,S, Mr
1,First,male,4,0,1,81.8583,S, Master
1,Middle,female,13,0,1,19.5,S, Miss
1,First,male,34,0,0,26.55,S, Mr
1,Lowest,female,5,1,1,19.2583,C, Miss
1,First,male,52,0,0,30.5,S, Major
0,Middle,male,36,1,1,27.75,S, Mr
0,Lowest,male,,1,0,19.9667,S, Mr
0,First,male,30,0,0,27.75,C, Mr
1,First,male,49,1,0,89.1042,C, Mr
0,Lowest,male,,0,0,8.05,S, Mr
1,Lowest,male,29,0,0,7.8958,C, Mr
0,First,male,65,0,0,26.55,S, Mr
1,First,female,,1,0,51.8625,S, Mrs
1,Middle,female,50,0,0,10.5,S, Miss
0,Lowest,male,,0,0,7.75,Q, Mr
1,First,male,48,0,0,26.55,S, Mr
0,Lowest,male,34,0,0,8.05,S, Mr
0,First,male,47,0,0,38.5,S, Mr
0,Middle,male,48,0,0,13,S, Mr
0,Lowest,male,,0,0,8.05,S, Mr
0,Lowest,male,38,0,0,7.05,S, Mr
0,Middle,male,,0,0,0,S, Mr
0,First,male,56,0,0,26.55,S, Mr
0,Lowest,male,,0,0,7.725,Q, Mr
1,Lowest,female,0.75,1,1,19.2583,C, Miss
0,Lowest,male,,0,0,7.25,S, Mr
0,Lowest,male,38,0,0,8.6625,S, Mr
1,Middle,female,33,1,1,27.75,S, Mrs
1,Middle,female,23,0,0,13.7917,C, Mrs
0,Lowest,female,22,0,0,9.8375,S, Miss
0,First,male,,0,0,52,S, Mr
0,Middle,male,34,1,0,21,S, Mr
0,Lowest,male,29,1,0,7.0458,S, Mr
0,Lowest,male,22,0,0,7.5208,S, Mr
1,Lowest,female,2,0,1,12.2875,S, Miss
0,Lowest,male,9,1,1,46.9,S, Master
0,Middle,male,,0,0,0,S, Mr
0,Lowest,male,50,0,0,8.05,S, Mr
1,Lowest,female,63,0,0,9.5875,S, Mrs
1,First,male,25,1,0,91.0792,C, Mr
0,Lowest,female,,1,1,25.4667,S, Miss
1,First,female,35,1,0,90,S, Mrs
0,First,male,58,0,0,29.7,C, Mr
0,Lowest,male,30,0,0,8.05,S, Mr
1,Lowest,male,9,1,1,15.9,S, Master
0,Lowest,male,,1,0,19.9667,S, Mr
0,Lowest,male,21,0,0,7.25,S, Mr
0,First,male,55,0,0,30.5,S, Mr
0,First,male,71,0,0,49.5042,C, Mr
0,Lowest,male,21,0,0,8.05,S, Mr
0,Lowest,male,,0,0,14.4583,C, Mr
1,First,female,54,1,0,78.2667,C, Miss
0,Lowest,male,,0,0,15.1,S, Mr
0,First,female,25,1,1,151.55,S, Mrs
0,Lowest,male,24,0,0,7.7958,S, Mr
0,Lowest,male,17,0,0,8.6625,S, Mr
0,Lowest,female,21,0,0,7.75,Q, Miss
0,Lowest,female,,0,0,7.6292,Q, Miss
0,Lowest,female,37,0,0,9.5875,S, Miss
1,First,female,16,0,0,86.5,S, Miss
0,First,male,18,1,0,108.9,C, Mr
1,Middle,female,33,0,1,26,S, Mrs
1,First,male,,0,0,26.55,S, Mr
0,Lowest,male,28,0,0,22.525,S, Mr
1,Lowest,male,26,0,0,56.4958,S, Mr
1,Lowest,male,29,0,0,7.75,Q, Mr
0,Lowest,male,,0,0,8.05,S, Mr
1,First,male,36,0,0,26.2875,S, Mr
1,First,female,54,1,0,59.4,C, Mrs
0,Lowest,male,24,0,0,7.4958,S, Mr
0,First,male,47,0,0,34.0208,S, Mr
1,Middle,female,34,0,0,10.5,S, Mrs
0,Lowest,male,,0,0,24.15,Q, Mr
1,Middle,female,36,1,0,26,S, Mrs
0,Lowest,male,32,0,0,7.8958,S, Mr
1,First,female,30,0,0,93.5,S, Miss
0,Lowest,male,22,0,0,7.8958,S, Mr
0,Lowest,male,,0,0,7.225,C, Mr
1,First,female,44,0,1,57.9792,C, Mrs
0,Lowest,male,,0,0,7.2292,C, Mr
0,Lowest,male,40.5,0,0,7.75,Q, Mr
1,Middle,female,50,0,0,10.5,S, Miss
0,First,male,,0,0,221.7792,S, Mr
0,Lowest,male,39,0,0,7.925,S, Mr
0,Middle,male,23,1,1,11.5,S, Mr
1,Middle,female,2,1,1,26,S, Miss
0,Lowest,male,,0,0,7.2292,C, Mr
0,Lowest,male,17,1,1,7.2292,C, Mr
1,Lowest,female,,0,1,22.3583,C, Mrs
0,Lowest,female,30,0,0,8.6625,S, Miss
1,Middle,female,7,0,1,26.25,S, Miss
0,First,male,45,0,0,26.55,S, Major
1,First,female,30,0,0,106.425,C, Miss
0,Lowest,male,,0,0,14.5,S, Mr
1,First,female,22,0,1,49.5,C, Miss
1,First,female,36,0,1,71,S, Miss
0,Lowest,female,9,1,1,31.275,S, Miss
0,Lowest,female,11,1,1,31.275,S, Miss
1,Middle,male,32,1,0,26,S, Mr
0,First,male,50,1,0,106.425,C, Mr
0,First,male,64,0,0,26,S, Mr
1,Middle,female,19,1,0,26,S, Mrs
1,Middle,male,,0,0,13.8625,C, Mr
0,Lowest,male,33,1,1,20.525,S, Mr
1,Middle,male,8,1,1,36.75,S, Master
1,First,male,17,0,1,110.8833,C, Mr
0,Middle,male,27,0,0,26,S, Mr
0,Lowest,male,,0,0,7.8292,Q, Mr
1,Lowest,male,22,0,0,7.225,C, Mr
1,Lowest,female,22,0,0,7.775,S, Miss
0,First,male,62,0,0,26.55,S, Mr
1,First,female,48,1,0,39.6,C, Lady
0,First,male,,0,0,227.525,C, Mr
1,First,female,39,1,1,79.65,S, Mrs
1,Lowest,female,36,1,0,17.4,S, Mrs
0,Lowest,male,,0,0,7.75,Q, Mr
0,Lowest,male,40,0,0,7.8958,S, Mr
0,Middle,male,28,0,0,13.5,S, Mr
0,Lowest,male,,0,0,8.05,S, Mr
0,Lowest,female,,0,0,8.05,S, Miss
0,Lowest,male,24,1,0,24.15,S, Mr
0,Lowest,male,19,0,0,7.8958,S, Mr
0,Lowest,female,29,0,1,21.075,S, Mrs
0,Lowest,male,,0,0,7.2292,C, Mr
1,Lowest,male,32,0,0,7.8542,S, Mr
1,Middle,male,62,0,0,10.5,S, Mr
1,First,female,53,1,0,51.4792,S, Mrs
1,First,male,36,0,0,26.3875,S, Mr
1,Lowest,female,,0,0,7.75,Q, Miss
0,Lowest,male,16,0,0,8.05,S, Mr
0,Lowest,male,19,0,0,14.5,S, Mr
1,Middle,female,34,0,0,13,S, Miss
1,First,female,39,1,0,55.9,S, Mrs
